,job_name,job_href,job_site,job_price_min,job_price_max,job_price_currency
132,DevOps Engineer senior,https://ekaterinburg.hh.ru/vacancy/53288073?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
133,Разработчик инструментов DevOps,https://ekaterinburg.hh.ru/vacancy/52799878?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
134,Главный инженер Linux на проекты внедрения,https://ekaterinburg.hh.ru/vacancy/66186302?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
135,.Net Разработчик (проект REGUL),https://ekaterinburg.hh.ru/vacancy/66626189?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
136,Системный аналитик,https://ekaterinburg.hh.ru/vacancy/67264683?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
137,Ops-инженер,https://ekaterinburg.hh.ru/vacancy/66700706?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
138,Инженер по сопровождению прикладного ПО,https://ekaterinburg.hh.ru/vacancy/66094648?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,140000,руб.
139,Product manager,https://ekaterinburg.hh.ru/vacancy/67234664?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
140,Senior DevOps engineer,https://ekaterinburg.hh.ru/vacancy/46954259?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
141,Android-разработчик,https://ekaterinburg.hh.ru/vacancy/67230461?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
142,Director of Engineering,https://ekaterinburg.hh.ru/vacancy/66796062?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
143,Наладчик КИПиА,https://ekaterinburg.hh.ru/vacancy/67225266?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,60000,0,руб.
144,Разработчик систем отображения графической информации,https://ekaterinburg.hh.ru/vacancy/67172949?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
145,Инженер DBA Postgresql,https://ekaterinburg.hh.ru/vacancy/67153905?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,280000,0,руб.
